mission_id,mission_name,mission_type,status,priority,start_date,end_date,target_object,primary_ground_station_id,budget_usd,region
ZOSA-2025-001,Operation Silent Orbit,Observation,Completed,Low,2021-07-25,2021-10-15,101955 Bennu,GS-11,1974962.36,Asia Pacific
ZOSA-2021-002,Operation Thunder Aegis,Survey,Completed,High,2022-03-25,2023-03-22,LHS 1140b,GS-12,29668651.35,Europe
ZOSA-2026-003,Operation Velvet Drift,Observation,Completed,Critical,2021-09-28,2022-02-15,TOI-700d,GS-06,5287460.65,Asia Pacific
ZOSA-2026-004,Project Polar Orbit,Observation,Planned,Low,2025-02-24,,162173 Ryugu,GS-09,27826011.25,Europe
ZOSA-2026-005,Mission Polar Pulsar,Defense,Active,Medium,2020-10-11,,162173 Ryugu,GS-01,42838227.19,Europe
ZOSA-2026-006,Operation Solar Orbit,Research,Completed,High,2024-02-03,2024-05-26,Mars Orbit Corridor,GS-06,13715402.19,Asia Pacific
ZOSA-2025-007,Mission Deep Aegis,Defense,Active,High,2025-12-27,,LHS 1140b,GS-12,19283044.37,Europe
ZOSA-2025-008,Mission Quiet Comet,Observation,Active,Medium,2020-08-17,,TOI-700d,GS-04,13753173.36,Africa
ZOSA-2021-009,Mission Bright Starfall,Survey,Active,High,2024-06-08,,Kepler-442b,GS-11,7411700.82,Asia Pacific
ZOSA-2025-010,Mission Quiet Orbit,Survey,Planned,Medium,2024-10-20,,243 Ida,GS-10,49867626.01,Oceania
ZOSA-2021-011,Mission Crystal Vanguard,Defense,Planned,Low,2021-03-25,,Kuiper Belt Object 2014 MU69,GS-03,3644621.45,North America
ZOSA-2023-012,Mission Amber Meridian,Observation,Completed,Medium,2026-03-16,2026-04-20,Alpha Centauri Region,GS-11,17338685.92,Asia Pacific
ZOSA-2022-013,Project Velvet Flare,Observation,Completed,Medium,2022-12-14,2023-09-26,Alpha Centauri Region,GS-03,25629312.66,North America
ZOSA-2021-014,Operation Phantom Sentinel,Research,Active,Low,2025-12-12,,433 Eros,GS-01,6037452.4,Europe
ZOSA-2022-015,Project Hollow Horizon,Survey,Completed,Critical,2026-05-12,2026-07-21,Lagrange Point L2,GS-02,38408804.25,South America
ZOSA-2021-016,Mission Crystal Solstice,Defense,Completed,High,2025-12-01,2026-11-06,Lunar South Pole,GS-07,15929956.42,Oceania
